Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393277,30.921446,7.928438646,42.97852530310572,-78.56895835,4295.609,New York,82,1,0,0,0.667217076,32.88888889,8.919494
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,396859,30.922617,5.565815849,42.86400933147649,-78.31564636,4266.201,New York,41,1,0,0,0.601157151,8.157894737,25.046171
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392775,30.924782,12.62660939,43.29193690517867,-78.44857082,4526.3022,New York,82,1,0,0,0.491878778,11.66,28.409872
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393294,30.932304,10.12820698,43.04281189888296,-78.46216272,4144.332,New York,82,0,0,0,0.659077773,13.74358974,22.788465
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393431,30.962233,7.621197583,42.947906357890105,-78.38413589,4287.2866,New York,82,1,0,0,0.661498384,10.53333333,17.147694
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393304,30.96227,9.035915816,43.06613246346177,-78.39879315,4256.725,New York,82,1,0,0,0.689086778,10.21052632,20.33081
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392789,30.976059,13.60485376,43.342304268128125,-78.53181562,4640.572,New York,82,1,0,0,0.508027312,9.472727273,61.221844
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393425,30.984945,13.41308804,42.90642717575448,-78.29761414,4488.18,New York,41,0,0,0,0.617042101,7.509803922,60.358894
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,396795,30.992794,14.90113002,42.68043616880777,-78.50452647,4388.821,New York,41,1,0,0,0.540737582,7.866666667,67.055084
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392790,31.002098,14.798803,43.334013713830814,-78.48800355,4698.5967,New York,82,1,0,0,0.474866861,12.76271186,33.297306
