GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Steam Turbine,50,0.0,0.0,9999,-9999,1.0,100,1,866.0,39.15,0,0,0,0,0,0,4.1666667,41.666667,125.0,0,0
Steam Turbine,50,0.0,0.0,9999,-9999,1.0,100,1,862.0,25.45,0,0,0,0,0,0,4.025,40.25,120.75,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,47.0,13.7,0,0,0,0,0,0,0.575,5.75,17.25,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,48.0,5.15,0,0,0,0,0,0,0.64166667,6.4166667,19.25,0,0
Combined Cycle,79,0.0,0.0,9999,-9999,1.0,100,1,81.0,14.5,0,0,0,0,0,0,0.675,6.75,20.25,0,0
Steam Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,201.0,45.0,0,0,0,0,0,0,1.425,14.25,42.75,0,0
Steam Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,204.0,45.0,0,0,0,0,0,0,1.4666667,14.666667,44.0,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,48.0,10.0,0,0,0,0,0,0,0.675,6.75,20.25,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,49.0,11.0,0,0,0,0,0,0,0.68333333,6.8333333,20.5,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,48.0,4.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Combined Cycle,82,209.09,0.0,9999,-9999,1.0,100,1,286.0,142.0,0,0,0,0,0,0,2.8916667,28.916667,86.75,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,380.0,1.0,0,0,0,0,0,0,2.75,27.5,82.5,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,1000.0,3.0,0,0,0,0,0,0,7.85,78.5,235.5,0,0
Steam Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,392.0,1.0,0,0,0,0,0,0,2.7833333,27.833333,83.5,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,84.0,12.0,0,0,0,0,0,0,0.60833333,6.0833333,18.25,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,622.0,30.3,0,0,0,0,0,0,4.125,41.25,123.75,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,635.0,30.8,0,0,0,0,0,0,4.1916667,41.916667,125.75,0,0
Combined Cycle,48,0.0,0.0,9999,-9999,1.0,100,1,268.0,20.0,0,0,0,0,0,0,2.125,21.25,63.75,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,143.0,0.0,0,0,0,0,0,0,2.3833333,23.833333,71.5,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,304.0,54.6,0,0,0,0,0,0,2.2583333,22.583333,67.75,0,0
Jet Engine,77,0.0,0.0,9999,-9999,1.0,100,1,37.0,0.0,0,0,0,0,0,0,0.61666667,6.1666667,18.5,0,0
